x1 y1 alpha1_deg x2 y2 alpha2_deg x3 y3 alpha3_deg robot_pos_x robot_pos_y robot_theta_deg landAB_derive_pos_x landAB_derive_pos_y landBC_derive_pos_x landBC_derive_pos_y landCA_derive_pos_x landCA_derive_pos_y
5.000 7.000 -146.336 -5.000 7.000 -52.717 0.000 -7.000 77.193 0.280 2.330 -168.618 0.324 2.317 0.229 2.222 0.234 2.396
5.000 7.000 -150.483 -5.000 7.000 -56.518 0.000 -7.000 74.025 0.183 2.381 -165.408 0.191 2.338 0.226 2.372 0.225 2.308
5.000 7.000 -154.960 -5.000 7.000 -59.917 0.000 -7.000 71.125 0.049 2.436 -161.737 0.145 2.424 0.100 2.382 0.101 2.463
5.000 7.000 -154.960 -5.000 7.000 -59.917 0.000 -7.000 71.125 0.049 2.436 -161.737 0.145 2.424 0.100 2.382 0.101 2.463
5.000 7.000 -159.561 -5.000 7.000 -64.183 0.000 -7.000 69.007 -0.089 2.478 -158.913 -0.138 2.451 -0.016 2.559 -0.015 2.336
5.000 7.000 -161.265 -5.000 7.000 -64.416 0.000 -7.000 69.365 -0.196 2.500 -157.470 -0.055 2.565 -0.309 2.341 -0.324 2.807
5.000 7.000 -165.239 -5.000 7.000 -68.328 0.000 -7.000 66.214 -0.342 2.517 -154.791 -0.277 2.577 -0.239 2.609 -0.237 2.540
5.000 7.000 -171.336 -5.000 7.000 -74.087 0.000 -7.000 63.666 -0.487 2.520 -150.258 -0.522 2.623 -0.571 2.584 -0.576 2.676
5.000 7.000 -171.336 -5.000 7.000 -74.087 0.000 -7.000 63.666 -0.487 2.520 -150.258 -0.522 2.623 -0.571 2.584 -0.576 2.676
5.000 7.000 -177.117 -5.000 7.000 -81.088 0.000 -7.000 58.522 -0.634 2.509 -144.478 -0.627 2.539 -0.672 2.503 -0.678 2.592
5.000 7.000 175.481 -5.000 7.000 -89.767 0.000 -7.000 52.375 -0.782 2.486 -137.776 -0.857 2.472 -0.768 2.541 -0.753 2.358
5.000 7.000 169.884 -5.000 7.000 -94.838 0.000 -7.000 48.026 -0.891 2.461 -132.446 -0.859 2.515 -0.925 2.464 -0.938 2.601
5.000 7.000 159.926 -5.000 7.000 -106.205 0.000 -7.000 39.475 -1.071 2.402 -123.081 -1.080 2.444 -1.060 2.459 -1.055 2.416
5.000 7.000 159.926 -5.000 7.000 -106.205 0.000 -7.000 39.475 -1.071 2.402 -123.081 -1.080 2.444 -1.060 2.459 -1.055 2.416
5.000 7.000 156.824 -5.000 7.000 -110.753 0.000 -7.000 35.693 -1.142 2.373 -119.287 -1.084 2.326 -1.050 2.352 -1.041 2.275
5.000 7.000 146.195 -5.000 7.000 -121.397 0.000 -7.000 27.582 -1.311 2.287 -109.660 -1.255 2.366 -1.299 2.333 -1.313 2.438
5.000 7.000 139.210 -5.000 7.000 -131.524 0.000 -7.000 20.290 -1.438 2.206 -102.400 -1.471 2.157 -1.288 2.294 -1.222 1.814
5.000 7.000 133.857 -5.000 7.000 -138.152 0.000 -7.000 16.473 -1.528 2.138 -97.100 -1.587 2.080 -1.509 2.139 -1.471 1.913
5.000 7.000 133.857 -5.000 7.000 -138.152 0.000 -7.000 16.473 -1.528 2.138 -97.100 -1.587 2.080 -1.509 2.139 -1.471 1.913
5.000 7.000 127.553 -5.000 7.000 -145.908 0.000 -7.000 11.784 -1.637 2.039 -90.584 -1.674 1.976 -1.764 1.909 -1.821 2.199
